procedure_ID,procedure_Def
577 , SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC
661 , KIDNEY & URETER PROCEDURES FOR NON
700 , OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC
343 , APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC
352 , INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC
307 , CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC
351 , INGUINAL & FEMORAL HERNIA PROCEDURES W CC
474 , AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC
477 , BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC
486 , KNEE PROCEDURES W PDX OF INFECTION W CC
488 , KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC
553 , BONE DISEASES & ARTHROPATHIES W MCC
564 , OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC
615 , ADRENAL & PITUITARY PROCEDURES W/O CC/MCC
668 , TRANSURETHRAL PROCEDURES W MCC
717 , OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC
865 , VIRAL ILLNESS W MCC
977 , HIV W OR W/O OTHER RELATED CONDITION
718 , OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W/O CC/MCC
063 , ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC
835 , ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC
059 , MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC
868 , OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC
887 , OTHER MENTAL DISORDER DIAGNOSES
125 , OTHER DISORDERS OF THE EYE W/O MCC
154 ," OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC"
155 ," OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"
260 , CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC
339 , APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC
353 , HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC
368 , MAJOR ESOPHAGEAL DISORDERS W MCC
500 , SOFT TISSUE PROCEDURES W MCC
511 ," SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC"
596 , MAJOR SKIN DISORDERS W/O MCC
755 ," MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC"
867 , OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC
869 , OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC
060 , MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC
151 , EPISTAXIS W/O MCC
156 ," OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"
158 , DENTAL & ORAL DISEASES W CC
415 , CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC
540 , OSTEOMYELITIS W CC
616 ," AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC"
008 , SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT
030 , SPINAL PROCEDURES W/O CC/MCC
574 , SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC
224 , CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC
245 , AICD GENERATOR PROCEDURES
296 ," CARDIAC ARREST, UNEXPLAINED W MCC"
078 , HYPERTENSIVE ENCEPHALOPATHY W CC
123 , NEUROLOGICAL EYE DISORDERS
385 , INFLAMMATORY BOWEL DISEASE W MCC
387 , INFLAMMATORY BOWEL DISEASE W/O CC/MCC
504 , FOOT PROCEDURES W CC
510 ," SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC"
512 ," SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC"
514 ," HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC"
539 , OSTEOMYELITIS W MCC
555 , SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC
559 ," AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC"
597 , MALIGNANT BREAST DISORDERS W MCC
598 , MALIGNANT BREAST DISORDERS W CC
604 ," TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC"
606 , MINOR SKIN DISORDERS W MCC
666 , PROSTATECTOMY W CC
670 , TRANSURETHRAL PROCEDURES W/O CC/MCC
727 , INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC
736 , UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC
754 ," MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC"
760 , MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC
815 , RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC
816 , RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC
820 , LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC
914 , TRAUMATIC INJURY W/O MCC
139 , SALIVARY GLAND PROCEDURES
655 , MAJOR BLADDER PROCEDURES W/O CC/MCC
876 , O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS
921 , COMPLICATIONS OF TREATMENT W/O CC/MCC
593 , SKIN ULCERS W CC
042 , PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC
561 ," AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC"
839 , CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC
115 , EXTRAOCULAR PROCEDURES EXCEPT ORBIT
340 , APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC
929 , FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W/O CC/MCC
829 , MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OT
849 , RADIOTHERAPY
746 ," VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC"
090 , CONCUSSION W/O CC/MCC
058 , MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC
747 ," VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC"
443 ," DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC"
693 , URINARY STONES W/O ESW LITHOTRIPSY W MCC
416 , CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC
945 , REHABILITATION W CC/MCC
437 , MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC
585 ," BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC"
687 , KIDNEY & URINARY TRACT NEOPLASMS W CC
950 , AFTERCARE W/O CC/MCC
946 , REHABILITATION W/O CC/MCC
726 , BENIGN PROSTATIC HYPERTROPHY W/O MCC
052 , SPINAL DISORDERS & INJURIES W CC/MCC
053 , SPINAL DISORDERS & INJURIES W/O CC/MCC
423 , OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC
578 , SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC
624 ," SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W/O CC/MCC"
844 , OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC
114 , ORBITAL PROCEDURES W/O CC/MCC
117 , INTRAOCULAR PROCEDURES W/O CC/MCC
147 ," EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC"
408 , BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC
774 , VAGINAL DELIVERY W COMPLICATING DIAGNOSES
583 , MASTECTOMY FOR MALIGNANCY W/O CC/MCC
137 , MOUTH PROCEDURES W CC/MCC
595 , MAJOR SKIN DISORDERS W MCC
513 ," HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC"
157 , DENTAL & ORAL DISEASES W MCC
348 , ANAL & STOMAL PROCEDURES W CC
496 , LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC
497 , LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC
814 , RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC
828 , MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC
842 , LYMPHOMA & NON
941 , O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC
231 , CORONARY BYPASS W PTCA W MCC
262 , CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC
735 ," PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC"
901 , WOUND DEBRIDEMENTS FOR INJURIES W MCC
259 , CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC
989 , NON
097 , NON
222 , CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC
420 , HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC
625 ," THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC"
951 , OTHER FACTORS INFLUENCING HEALTH STATUS
132 , CRANIAL/FACIAL PROCEDURES W/O CC/MCC
934 , FULL THICKNESS BURN W/O SKIN GRFT OR INHAL INJ
619 , O.R. PROCEDURES FOR OBESITY W MCC
622 ," SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC"
098 , NON
744 ," D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC"
102 , HEADACHES W MCC
547 , CONNECTIVE TISSUE DISORDERS W/O CC/MCC
255 , UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC
414 , CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC
077 , HYPERTENSIVE ENCEPHALOPATHY W MCC
256 , UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC
686 , KIDNEY & URINARY TRACT NEOPLASMS W MCC
766 , CESAREAN SECTION W/O CC/MCC
201 , PNEUMOTHORAX W/O CC/MCC
198 , INTERSTITIAL LUNG DISEASE W/O CC/MCC
